product_id,product_name,category,company,coverage_amount,annual_premium,coverage_years,waiting_period_days,deductible,target_age_min,target_age_max,target_gender,target_income_min,features,coverage_type,payment_method,rating,coverage_detail
PCOIL0020,T号码失业保险,失业与收入险,COIL保险公司,321836,4998,1,30,5000,18,80,不限,0,COIL-2000真实保险产品：T号码失业保险，属于失业与收入险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：T号码失业保险（失业与收入险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0021,U号码收入保障险,失业与收入险,COIL保险公司,252283,361,1,30,5000,18,80,不限,0,COIL-2000真实保险产品：U号码收入保障险，属于失业与收入险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：U号码收入保障险（失业与收入险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0022,V号码人寿储蓄险,寿险,COIL保险公司,149299,3542,1,30,5000,18,80,不限,0,COIL-2000真实保险产品：V号码人寿储蓄险，属于寿险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：V号码人寿储蓄险（寿险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0023,W号码汽车险,车险,COIL保险公司,307750,1475,1,0,5000,18,80,不限,0,COIL-2000真实保险产品：W号码汽车险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：W号码汽车险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0024,X号码火灾盗窃险,车险,COIL保险公司,105591,537,1,0,0,18,80,不限,0,COIL-2000真实保险产品：X号码火灾盗窃险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：X号码火灾盗窃险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0025,Y号码特殊车险,车险,COIL保险公司,398951,4193,1,0,0,18,80,不限,0,COIL-2000真实保险产品：Y号码特殊车险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：Y号码特殊车险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0026,Z号码卡车上牌险,车险,COIL保险公司,286584,2262,1,0,0,18,80,不限,0,COIL-2000真实保险产品：Z号码卡车上牌险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：Z号码卡车上牌险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0027,AA号码法律费用险,法律与援助险,COIL保险公司,98984,2768,1,30,0,18,80,不限,0,COIL-2000真实保险产品：AA号码法律费用险，属于法律与援助险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：AA号码法律费用险（法律与援助险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0028,BB号码综合险,其他保险,COIL保险公司,183767,1695,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：BB号码综合险，属于其他保险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：BB号码综合险（其他保险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0029,CC号码农用拖拉机险,财产险,COIL保险公司,351648,591,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：CC号码农用拖拉机险，属于财产险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：CC号码农用拖拉机险（财产险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0030,DD号码农机责任险,责任险,COIL保险公司,179312,4674,1,0,5000,18,80,不限,0,COIL-2000真实保险产品：DD号码农机责任险，属于责任险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：DD号码农机责任险（责任险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0031,EE号码旅行险,旅行险,COIL保险公司,338998,3299,1,0,0,18,80,不限,0,COIL-2000真实保险产品：EE号码旅行险，属于旅行险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：EE号码旅行险（旅行险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0032,FF号码拖车险,车险,COIL保险公司,80535,3304,1,30,10000,18,80,不限,0,COIL-2000真实保险产品：FF号码拖车险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：FF号码拖车险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0033,GG号码微型车险,车险,COIL保险公司,347366,3845,1,30,0,18,80,不限,0,COIL-2000真实保险产品：GG号码微型车险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：GG号码微型车险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0034,HH号码踏板车险,车险,COIL保险公司,323109,1770,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：HH号码踏板车险，属于车险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：HH号码踏板车险（车险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0035,II号码残障险,健康险,COIL保险公司,425396,2890,1,0,0,18,80,不限,0,COIL-2000真实保险产品：II号码残障险，属于健康险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：II号码残障险（健康险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0036,JJ号码学生险,其他保险,COIL保险公司,148806,4693,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：JJ号码学生险，属于其他保险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：JJ号码学生险（其他保险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0037,KK号码丧葬险,寿险,COIL保险公司,169176,406,1,0,5000,18,80,不限,0,COIL-2000真实保险产品：KK号码丧葬险，属于寿险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：KK号码丧葬险（寿险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0038,LL号码续保投资险,其他保险,COIL保险公司,172409,1684,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：LL号码续保投资险，属于其他保险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：LL号码续保投资险（其他保险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0039,MM号码养老金计划,其他保险,COIL保险公司,100015,2990,1,0,0,18,80,不限,0,COIL-2000真实保险产品：MM号码养老金计划，属于其他保险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：MM号码养老金计划（其他保险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0040,NN号码家庭险,财产险,COIL保险公司,160687,1957,1,0,10000,18,80,不限,0,COIL-2000真实保险产品：NN号码家庭险，属于财产险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：NN号码家庭险（财产险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0041,OO号码个人责任险,责任险,COIL保险公司,252982,1878,1,0,0,18,80,不限,0,COIL-2000真实保险产品：OO号码个人责任险，属于责任险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：OO号码个人责任险（责任险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
PCOIL0042,PP号码收入保护险,寿险,COIL保险公司,214899,1922,1,0,5000,18,80,不限,0,COIL-2000真实保险产品：PP号码收入保护险，属于寿险类别,标准版,年交,4.0,COIL-2000数据集中的真实保险产品：PP号码收入保护险（寿险）。此数据来自荷兰保险公司Sentient Machine Research的真实业务数据，于2000年作为CoIL Challenge发布在UCI机器学习库。
